pana si, chiar        - perfino
semnele de circulatie - i cartelli stradali
cat                   - quanto
gradinita             - asilo nido 
somnul                - il sonno
examenul              - l'esame
elevul                - l'allievo
pe de rost            - a memoria
rau                   - cattivo
paharul               - il bicchere
fata de masa          - la tovaglia
dimpotriva            - anzi
farfuria              - il piatto
tacamul               - la posata
aperitivul            - l'antipasta
felia                 - la fetta
sunca                 - il prosciutto
intr-adevar           - infatti
salonul               - il salotto
felul doi             - secondo piatto
cutia                 - l'astuccio
cutitul               - il coltello
ameteala              - il capogiro
burta                 - la pancia
febra                 - la febbre
ficatul               - il fegato
gripa                 - l'influenza
vederea               - la vista
auzul                 - l'udito
gustul                - il gusto
creta                 - il gesso
dulapul               - lo scaffale
ce e mai frumos decat - cosa c'Š di pi— bello che fare
a-ti lasa gura apa    - far venire l'acquolina in bocca
dat fiind ca          - siccome
in ceea ce-l priveste - per quante riguardo
