a proteja       - proteggere
a conduce       - condurre
a pune          - porre
a ingheta       - gelare
a acroda        - asseguare
a promova       - promuovere
a lasa corigent - rimandere
a lasa repetent - bocciare
a adormi        - addormentarsi
a tacea         - tacere
a rasfoi        - sfogliare
a pune masa     - apparecchiare
a lipsi         - mancare
a uita          - dimenticare
a uita          - scordare
a strange masa  - sparecchiare
a taia          - tagliare
a vindeca       - guarire
a parea         - sembrare
a intalni       - incontrare
