in timpul             - durante
a vorbi serios        - parlare sul ser
a face o vizita cuiva - andare a trovare qualcouno
zapuseala             - la afa
briza                 - la brezza
arzator               - cocente
imprejur              - intorno
costumul              - il costume
de jur imprejur       - tutt'intorno
lejer                 - leggero
lucrul                - la roba
tricoul               - la maglia
halatul               - l'accappatoio
ultimul               - l'ultimo
nisipul               - la sabia
umed                  - umido
umed                  - asciutto
dezvoltare            - il sviluppo
ceasca                - la tazza
acoperis              - il tetto
pana cand             - finchä
gospodaria            - la fattoria
steaua                - la stella
cutia                 - la scatola
etajul                - il piano
intreg                - intero
jucaria               - il balocco
furculita             - la forchetta
sufrageria            - il soggiorno
primitor              - accogliente
recent                - di recente
in baza               - in base
semnificativ          - significativo
iarba                 - l'erba
astronomul            - l'astronomo
desi                  - benchä
noutatea              - la novitÖ
pusca                 - il fucile
oul                   - l'uovo
inaltimea             - l'altezza
a fi obligat          - essere costretto
a dau un exemplu      - fare un esempio
este vorba despre     - si tratta di
in care               - in cui
