a palavragi  - chiacchierare
a inota      - nuotare
a se grabi   - sbrigare
a se imbraca - vestire
a trece      - passare
a construi   - costruire
a se imbraca - infilare
a gati       - cucinare
a aparea     - apparire
a bea        - bere
a cere       - chiedere
a culege     - cogliere
a pierde     - perdere
a se rupe    - rompere
a castiga    - vincere
a continua   - seguitare
a urca       - salire
a ridica     - alzare
a locui in   - abitare
a adopta     - adottare
a incepe     - iniziare
a semnifica  - significare
a masura     - misurare
a muta       - spostare
a afla       - apprendere
a incheia    - concludere
