satul, plictisit     - stufo
zana                 - la fata
corect               - perbene
ascultator           - ubbidiente
sufletul             - l'animo
altfel               - altrimenti
pictiseala           - la noia
manusa               - il guanto
peste                - oltre
puternic             - forte
vointa               - la volont…
asurzitor            - assordante
saritura             - la capriola
antrenament          - l'allenamento
a veni sa rada       - venirsi da ridere
in fata              - innanzi
in spate             - indietro
bradul               - l'abete
crinul               - il giglio
garoafa              - garofano
stejarul             - la quercia
privirea             - l'occhiata
in afara de          - inoltre
pantoful             - la scarpa
avocatul             - l'avvocato
biletul              - il bigleitto
umbrela              - l'ombrello
efortul              - lo sforzo
presiunea            - la presione
brusc                - di scatto
fraged, gingas       - tenero
spionul              - la spia
ghidul               - la guida
bunatate             - la bont…
nici macar           - neppure
macar                - meno            
afara de             - salvo
afara de             - ecceto
insumi               - medesimo
tacut                - zittp
oaia                 - la pecora
a nu trebui decat sa - non dovere che
a evacua             - far sgombrare
