de data aceasta - stavolta
victima         - la vittima
intersectia     - l'incrocio
strada          - la via
trotuar         - il marciapiede
abia            - appena
soferul         - l'autista
intre, printre  - fra
inspaimantat    - spaventato
alti            - altri
trecator        - il passante
in fuga         - di corsa
la urma urmelor - in fin dei conti
a-si da seama   - rendersi conto
ceea            - ci•
regula          - la regola
schiop          - zoppo
dupa aceea      - poi 
inchisoare      - la prigione
din vina ta     - per colpa tua
sanatatea       - la salute
insusi          - stesso
familia         - la famiglia
cu atentie      - attentamente
traficul        - il traffico
semn            - il segno
sageata         - la freccia
scapare         - il scampo
start           - il via
spital          - l'ospedale
periculos       - pericoloso
hot             - il ladro
hartie          - la carta
murdar          - sporco
ambalajul       - l'imballaggio
tramvaiul       - il tram
roata           - la ruota
mereu           - sempre
adesea          - spesso
rareori         - raramente
uneori          - ogni tanto
cateodata       - qualche volta
niciodata       - mai
aniversare      - il compleanno
intr-adevar     - davvero
amenda          - la multa
mingea          - la palla
