pana acum         - fino a
astfel, deci      - quindi
obisnuit          - solito
de obicei         - di solito
pe toti           - tutti quanti
majoritatea       - la maggior parte
apartamentul      - il appartamento
legea             - la legge
botezul           - il battesimo
vestmantul        - l'abito
de-acum inainte   - d'ora in poi
odata, odinioara  - una volta
logodna           - il fidanzamento
casatoria         - il matrimonio
nunta             - le nozze
elegant           - elegante
ceremonia         - la ceremonia
grupul            - il gruppo
ruda              - il parente
bomboana          - il confetto
mierea            - il miele
sarbatoarea       - la festa
Craciunul         - il Natale
Pastele           - il Pasque
proverbul         - il proverbio
evenimentul       - il avvenimento
inmormantarea     - il funerale
a aduce un omagiu - rendere un ommagio
doliul            - il lutto
amandoi           - tutti (e) due
nasul             - il padrino
nasa              - la padrina
stramt, apropiat  - stretto
lenesul           - pigro
bogat             - ricco
important         - importante
generos           - generoso
dragut            - carino
vesel             - lieto
vesel             - allegro
dantela           - la trina
atat              - tanto
fratele           - il fratello
croitorul         - il sarto
aproape (adv.)    - quasi
cumnatul          - il cognato
muncitorul        - l'operaio
ursul             - l'orso
atat... cat si... - tanto... quanto
leul              - il leone
cocosul           - il gallo
gaina             - la galla
ginerele          - il genero
nora              - la nuora
tatal vitreg      - il patrigno
mama vitrega      - la matrigna
boul              - il bue
pisica            - la gatta
porumbelul        - il colombo
incapatanat       - ostinato
bucatarul         - il cuoco
