scrisoarea       - la lettera
mijlocul         - il mezzo
comunicare       - comunicazione
mai ales         - sopratutto
cunoscut         - sconosciuto
avnatajul        - il vantaggio
precis           - preciso
scump            - costoso
foaia            - il foglio
linia            - la riga
curat            - pulito
localitatea      - la localit…
in functie de    - a secondo
deschiderea      - l'apertura
confidential     - confidenziale
respectuos       - rispettoso
plicul           - la busta
partea           - il lato
in partea de sus - in alto
expeditorul      - il mittente
destinatarul     - il destinatario
timbrul          - il francobollo
pe malul marii   - in riva al mare
invatatoarea     - la maestra
piata            - la piazza
fantana          - la fontanta
inflorit         - fiorito
de buna voie     - volentieri
poate            - forse
plin             - pieno
pestele          - il pesce
plasa            - il rete
pescarul         - il pescatore
clopot           - la campana
ieftin           - a buon mercato
semnatura        - la firma
piatra           - il sasso
postasul         - il portalettere
pachetul         - il pacco
destul           - abbastanza
interzis         - vietato
vestea           - la notizia
in schimb        - invece
tema             - il compito
chiar daca       - anche se
