prin cablu            - via cavo
poporul               - il popolo
teritoriul            - il teritorio
marturia              - la testimoniaza
civilizatia           - la civilt…
relieful              - il rilievo
variat                - vario
bogatie               - la richezza
insorit               - sollegiato
fluviul               - il fiume
hotarul               - il confine
pasarea               - il uccello
prea                  - troppo
vara                  - d'estate
iarna                 - d'inverno
anotimpul             - lo stagione
zapada                - la neve
zarzavatul            - il ortaggio
chiar ca              - proprio come
din cauza             - a causa di
care                  - la (il) quale
sarac                 - povero
necunoscutul          - il ignato
ziaristul             - il giornalista
vanzatorul de ziare   - il giornalaio
viitor                - prossimo
trecut                - scorso
locuitorul            - l'abitante
multumit              - contento
obraznic              - sfacciato
camasa                - la camicia
fata de               - nei confronti di
mult mai              - molto pi—
din cand in cand      - di volta in volta
de cele mai multe ori - il pi— delle volte
